,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tyukhtet,100,RU,1599087313,96,56.54,89.3,57.79,7.92
1,thompson,75,CA,1599087313,54,55.74,-97.86,55.4,11.41
2,yellowknife,40,CA,1599087297,54,62.46,-114.35,53.6,12.75
3,vaini,90,TO,1599087314,94,-21.2,-175.2,75.2,11.41
4,punta arenas,96,PH,1599087314,76,8.99,125.34,79.83,4.63
5,ilo,73,PE,1599087314,81,-17.64,-71.34,59.45,9.48
6,aquiraz,1,BR,1599087314,74,-3.9,-38.39,80.6,12.75
7,busselton,95,AU,1599087314,60,-33.65,115.33,54.0,11.68
8,albany,98,US,1599087104,87,42.6,-73.97,73.0,6.42
9,preobrazheniye,98,RU,1599087315,93,42.9,133.91,69.1,19.24
10,chokurdakh,91,RU,1599087315,72,70.63,147.92,41.0,10.36
11,aripuana,60,BR,1599087315,29,-9.17,-60.63,89.06,2.64
12,ushuaia,90,AR,1599087315,74,-54.8,-68.3,37.4,2.1
13,cabo san lucas,20,BR,1599087315,88,-8.28,-35.03,73.4,4.7
14,mataura,44,NZ,1599087316,72,-46.19,168.86,45.0,11.01
15,ancud,99,CL,1599087316,90,-41.87,-73.82,48.99,1.01
16,kieta,50,PG,1599087316,63,-6.22,155.63,85.05,2.93
17,ponta do sol,96,PT,1599087316,90,38.73,-28.27,69.85,9.13
18,luderitz,0,NA,1599087216,59,-26.65,15.16,54.99,8.68
19,kodiak,92,US,1599087317,82,57.79,-152.41,52.29,4.18
20,souillac,75,MU,1599087317,94,-20.52,57.52,69.8,1.12
21,port alfred,0,CD,1599087318,44,-7.03,29.76,75.76,1.07
22,qaanaaq,0,GL,1599087318,81,77.48,-69.36,27.01,6.35
23,christchurch,0,NZ,1599087211,53,-43.53,172.63,54.0,1.12
24,saraland,20,US,1599087319,63,30.82,-88.07,91.4,8.05
25,palmer,90,US,1599087319,94,42.16,-72.33,70.0,3.36
26,pitelino,0,RU,1599087319,90,54.58,41.81,50.83,7.85
27,husum,0,DE,1599087319,93,54.49,9.05,54.0,0.94
28,mariental,0,NA,1599087319,49,-24.63,17.97,44.85,4.03
29,lucapa,2,AO,1599087320,62,-8.42,20.74,73.96,3.69
30,grand river south east,1,US,1599087320,14,38.88,-109.5,87.8,5.86
31,wilkie,86,CA,1599087320,88,52.42,-108.7,55.99,22.12
32,sheridan,1,US,1599086834,8,44.83,-106.92,91.99,19.46
